cp,id_estado,id_municipio
16340,9,16
16400,9,16
16410,9,16
16420,9,16
16428,9,16
16429,9,16
16430,9,16
16440,9,16
16443,9,16
16450,9,16
16457,9,16
16459,9,16
16500,9,16
16513,9,16
16514,9,16
16520,9,16
16530,9,16
16533,9,16
16550,9,16
16600,9,16
16604,9,16
16605,9,16
16606,9,16
16607,9,16
16609,9,16
16610,9,16
16614,9,16
16615,9,16
16616,9,16
16617,9,16
16620,9,16
16629,9,16
16630,9,16
16640,9,16
16710,9,16
16720,9,16
16739,9,16
16740,9,16
16749,9,16
16750,9,16
16770,9,16
16776,9,16
16780,9,16
16797,9,16
16799,9,16
16800,9,16
16810,9,16
16813,9,16
16840,9,16
16850,9,16
16860,9,16
16880,9,16
16900,9,16
20000,1,17
20010,1,17
20016,1,17
20018,1,17
20020,1,17
20029,1,17
20030,1,17
20040,1,17
20049,1,17
20050,1,17
20059,1,17
20060,1,17
20064,1,17
20070,1,17
20078,1,17
20080,1,17
20089,1,17
20100,1,17
20110,1,17
20115,1,17
20116,1,17
20118,1,17
20119,1,17
20120,1,17
20123,1,17
20124,1,17
20126,1,17
20127,1,17
20128,1,17
20129,1,17
20130,1,17
20135,1,17
20136,1,17
20137,1,17
20138,1,17
20140,1,17
20146,1,17
20149,1,17
20150,1,17
20157,1,17
20158,1,17
20159,1,17
20160,1,17
20164,1,17
20169,1,17
20170,1,17
20172,1,17
20174,1,17
20175,1,17
20177,1,17
20179,1,17
20180,1,17
20190,1,17
20196,1,17
20198,1,17
20199,1,17
20200,1,17
20205,1,17
20206,1,17
20207,1,17
20208,1,17
20210,1,17
20217,1,17
20218,1,17
20219,1,17
20220,1,17
20229,1,17
20230,1,17
20234,1,17
20235,1,17
20236,1,17
20237,1,17
20238,1,17
20239,1,17
20240,1,17
20247,1,17
20248,1,17
20249,1,17
20250,1,17
20255,1,17
20256,1,17
20257,1,17
20259,1,17
20260,1,17
20263,1,17
20264,1,17
20265,1,17
20266,1,17
20267,1,17
20268,1,17
20269,1,17
20270,1,17
20276,1,17
20277,1,17
20278,1,17
20280,1,17
20283,1,17
20284,1,17
20285,1,17
20286,1,17
20287,1,17
20288,1,17
20289,1,17
20290,1,17
20296,1,17
20297,1,17
20298,1,17
20299,1,17
20300,1,18
20303,1,18
20304,1,18
20305,1,18
20306,1,18
20310,1,17
20313,1,17
20314,1,17
20316,1,17
20318,1,17
20320,1,17
20323,1,17
20324,1,17
20326,1,17
20328,1,17
20329,1,17
20330,1,19
20333,1,19
20334,1,19
20335,1,19
20336,1,19
20337,1,19
20338,1,19
20339,1,19
20340,1,17
20341,1,17
20342,1,17
20343,1,17
20344,1,17
20345,1,17
20346,1,17
20347,1,17
20348,1,17
20349,1,17
20350,1,18
20355,1,18
20356,1,18
20357,1,18
20358,1,18
20363,1,17
20364,1,17
20366,1,17
20367,1,17
20369,1,17
20370,1,17
20371,1,17
20372,1,17
20373,1,17
20374,1,17
20375,1,17
20376,1,17
20377,1,17
20378,1,17
20384,1,17
20386,1,17
20388,1,17
20389,1,17
20392,1,17
20393,1,17
20394,1,17
20395,1,17
20396,1,17
20400,1,20
20403,1,20
20404,1,20
20405,1,20
20406,1,20
20410,1,20
20414,1,20
20415,1,20
20416,1,20
20417,1,20
20420,1,20
20423,1,20
20424,1,20
20425,1,20
20426,1,20
20427,1,20
20434,1,20
20435,1,20
20437,1,20
20440,1,20
20444,1,20
20450,1,20
20460,1,21
20462,1,21
20466,1,21
20467,1,21
20468,1,21
20469,1,21
20470,1,21
20472,1,21
20476,1,21
20478,1,21
20500,1,22
20504,1,22
20505,1,22
20508,1,22
20510,1,22
20516,1,22
20520,1,22
20538,1,22
20540,1,22
20545,1,22
20563,1,22
20564,1,22
20567,1,22
20570,1,22
20574,1,22
20575,1,22
20576,1,22
20600,1,23
20602,1,23
20603,1,23
20607,1,23
20610,1,23
20614,1,23
20615,1,23
20616,1,23
20620,1,23
20622,1,23
20634,1,23
20635,1,23
20637,1,23
20650,1,23
20656,1,23
20657,1,23
20658,1,23
20659,1,23
20663,1,24
20665,1,24
20666,1,24
20667,1,24
20668,1,24
20670,1,24
20673,1,24
20674,1,24
20675,1,24
20676,1,24
20677,1,24
20678,1,24
20680,1,24
20683,1,24
20684,1,24
20686,1,24
20687,1,24
20700,1,25
20704,1,25
20706,1,25
20708,1,25
20709,1,25
20710,1,25
20712,1,25
20713,1,25
20714,1,25
20715,1,25
20720,1,25
20721,1,25
20722,1,25
20723,1,25
20724,1,25
20727,1,25
20729,1,25
20730,1,25
20734,1,25
20736,1,25
20737,1,25
20739,1,25
20740,1,25
20741,1,25
20742,1,25
20744,1,25
20746,1,25
20748,1,25
20749,1,25
20750,1,25
20770,1,25
20773,1,25
20780,1,25
20790,1,25
20795,1,25
20796,1,25
20799,1,25
20800,1,26
20802,1,26
20803,1,26
20804,1,26
20805,1,26
20810,1,26
20816,1,26
20820,1,26
20823,1,26
20830,1,26
20832,1,26
20834,1,26
20835,1,26
20836,1,26
20840,1,26
20842,1,26
20844,1,26
20850,1,26
20852,1,26
20854,1,26
20855,1,26
20856,1,26
20860,1,26
20862,1,26
20864,1,26
20870,1,26
20872,1,26
20874,1,26
20880,1,26
20882,1,26
20900,1,27
20901,1,27
20903,1,27
20904,1,27
20905,1,27
20907,1,27
20908,1,27
20909,1,27
20910,1,27
20913,1,27
20915,1,27
20916,1,27
20917,1,27
20920,1,27
20922,1,27
20923,1,27
20924,1,27
20925,1,27
20926,1,27
20927,1,27
20928,1,27
20933,1,27
20934,1,27
20943,1,27
20947,1,27
20953,1,27
20954,1,27
20955,1,27
20956,1,27
20957,1,27
20970,1,27
20974,1,27
20983,1,27
20984,1,27
20990,1,27
20994,1,27
20995,1,27
20996,1,27
20997,1,27
21000,2,28
21010,2,28
21020,2,28
21030,2,28
21038,2,28
21039,2,28
21040,2,28
21050,2,28
21060,2,28
21070,2,28
21079,2,28
21080,2,28
21090,2,28
21100,2,28
21110,2,28
21120,2,28
21130,2,28
21135,2,28
21137,2,28
21138,2,28
21139,2,28
21140,2,28
21147,2,28
21150,2,28
21160,2,28
21165,2,28
21170,2,28
21178,2,28
21179,2,28
21180,2,28
21185,2,28
21188,2,28
21190,2,28
21200,2,28
21210,2,28
21215,2,28
21216,2,28
21217,2,28
21219,2,28
21220,2,28
21224,2,28
21225,2,28
21226,2,28
21229,2,28
21230,2,28
21239,2,28
21240,2,28
21250,2,28
21254,2,28
21255,2,28
21257,2,28
21258,2,28
21259,2,28
21260,2,28
21270,2,28
21279,2,28
